grade_id,grade_fra,grade_yds,grade_v
0,,,VB
1,,5.0,VB
2,,5.1,VB
3,1,5.2,VB
4,1a,5.2,VB
5,1b,5.2,VB
6,1c,5.2,VB
7,1+,5.2,VB
8,2,5.3,VB
9,2a,5.3,VB
10,2b,5.3,VB
11,2c,5.3,VB
12,2+,5.3,VB
13,3,5.4,VB
14,3a,5.4,VB
15,3a+,5.4,VB
16,3b,5.4,VB
17,3b+,5.4,VB
18,3c,5.4,VB
19,3c+,5.4,VB
20,3+,5.4,VB
21,4,5.4,VB
22,4a,5.5,VB
23,4a+,5.5,VB
24,4b,5.6,VB
25,4b+,5.6,VB
26,4c,5.7,VB
27,4c+,5.7,VB
28,4+,5.7,VB
29,5,5.7,VB
30,5a,5.8,VB
31,5a+,5.8,VB
32,5b,5.9,VB
33,5b+,5.9,VB
34,5c,5.10a,V0
35,5c+,5.10a,V0
36,6,5.10a,V0
37,6a,5.10b,V0
38,6a/+,5.10b,V0
39,6a+,5.10c,V1
40,6a+/6b,5.10c,V1
41,6b,5.10d,V1
42,6b/+,5.10d,V1
43,6b+,5.11a,V2
44,6b+/6c,5.11a,V2
45,6c,5.11b,V2
46,6c/+,5.11b,V2
47,6c+,5.11c,V3
48,6c+/7a,5.11c,V3
49,7a,5.11d,V3
50,7a/+,5.11d,V3
51,7a+,5.12a,V4
52,7a+/7b,5.12a,V4
53,7b,5.12b,V5
54,7b/+,5.12b,V5
55,7b+,5.12c,V5
56,7b+/7c,5.12c,V5
57,7c,5.12d,V6
58,7c/+,5.12d,V6
59,7c+,5.13a,V7
60,7c+/8a,5.13a,V7
61,8a,5.13b,V7
62,8a/+,5.13b,V7
63,8a+,5.13c,V8
64,8a+/8b,5.13c,V8
65,8b,5.13d,V9
66,8b/+,5.13d,V9
67,8b+,5.14a,V10
68,8b+/8c,5.14a,V10
69,8c,5.14b,V11
70,8c/+,5.14b,V11
71,8c+,5.14c,V12
72,8c+/9a,5.14c,V12
73,9a,5.14d,V13
74,9a/+,5.14d,V13
75,9a+,5.15a,V14
76,9a+/9b,5.15a,V14
77,9b,5.15b,V15
78,9b/+,5.15b,V15
79,9b+,5.15c,V16
80,9b+/9c,5.15c,V16
81,9c,5.15d,V17
82,9c/+,,
83,9c+,,
84,9c+/10a,,
