name_id,country,crag,sector,name,tall_recommend_sum,grade_mean,cluster,rating_tot
0,and,montserrat,prohibitivo,diagonal de la x,-1,49.25,3,-0.045211449
1,and,montserrat,prohibitivo,mehir,-1,49,2,0.116464061
2,and,montserrat,prohibitivo,pas de la discordia,0,49,2,0.17872175
3,and,tartareu,bombo suis,tenedor libre,0,44.33333333,3,0.158449225
4,arg,bandurrias,rincon,tendinitis,1,48.5,0,0.075797184
5,arg,bariloche,pared blanca,barbaroja,0,49,1,-0.164901795
6,arg,bariloche,pared blanca,barbas del capitan,0,46,2,-0.045211449
7,arg,bariloche,pared blanca,jack sparrow,0,51,1,-0.045211449
8,arg,bariloche,pared blanca,lenguita de gato,0,53,2,-0.073996823
9,arg,barrosa,matrix,matrix,0,48.5,0,-0.045211449
10,arg,buitrera,alero,amamantamos la cachorra,0,44,2,-0.073474534
11,arg,buitrera,alero,capitan pingaloca,0,44,2,-0.073474534
12,arg,buitrera,alero,indomita,0,46,2,-0.073474534
13,arg,buitrera,alero,mas chingona,0,46,2,-0.073474534
14,arg,buitrera,gruyere,cojo anal,0,40,2,-0.073474534
15,arg,buitrera,ongi etorri,algo muy sucio,0,36,2,-0.073474534
16,arg,buitrera,ongi etorri,chinchillon,0,40,2,-0.073474534
17,arg,buitrera,ongi etorri,vida en el filo,0,32,2,-0.073474534
18,arg,buitreras,alero,mickey mouse,0,40,2,0.379969908
19,arg,buitreras,alero,planeta agujero,-1,44.5,3,-0.105056622
20,arg,buitreras,alero,punto g,0,34.5,2,-0.073474534
21,arg,buitreras,ongi etorri,algo muy sucio,0,32.5,2,-0.164901795
22,arg,buitreras,ongi etorri,chinchillon,0,38,2,0.320124735
23,arg,casa de piedra,san martin de los andes,betty la fea,0,40,2,-0.164901795
24,arg,cerro ventana,abajo,chorro negro,0,49.16666667,2,-0.116780424
25,arg,cerro ventana,abajo,conchaqueta,0,44,2,0.197301816
26,arg,cerro ventana,abajo,expresso,0,49,2,-0.164901795
27,arg,cerro ventana,abajo,halcones galacticos,-1,39.5,2,-0.067896489
28,arg,cerro ventana,abajo,reaccion en cadena,0,36.75,3,0.197301816
29,arg,cerro ventana,abajo,spineta,0,44,2,-0.045211449
30,arg,cerro ventana,abajo,vamos a morrir,0,38.6,2,-0.156754087
31,arg,cerro ventana,abajo,woody good dog,-1,40.83333333,2,0.004220542
32,arg,cerro ventana,visera,forza makita,0,57,2,-0.045211449
33,arg,covisal,cueva,canguro magico,1,58,7,-0.108833289
34,arg,covisal,cueva,envergadura total,0,48.25,0,-0.073474534
35,arg,covisal,cueva,hormiga atomica,0,56.5,0,0.449293081
36,arg,covisal,cueva,huelga de princesas,-1,55.5,3,-0.062077061
37,arg,covisal,cueva,huntito,-1,63,3,-0.035630512
38,arg,covisal,cueva,me la tenes clara,0,53,2,-0.045211449
39,arg,covisal,cueva,milena,1,53.5,3,0.418536149
40,arg,covisal,cueva,sauron,1,63,0,0.320124735
41,arg,covisal,san martin de los andes,envergadura,0,49,2,-0.073474534
42,arg,covisal,san martin de los andes,gran cajeta,0,38,2,-0.073474534
43,arg,frey,abuelo,aprendiendo a volar,0,38.66666667,6,-0.073474534
44,arg,frey,abuelo,naca naca crunch crunch,0,35.5,6,-0.164901795
45,arg,morenhuapi,sector principal,castigo de jehova,0,40,2,-0.073474534
46,arg,morenhuapi,sector principal,de primate,0,38,1,-0.073474534
47,arg,morenhuapi,sector principal,fuking pinches,0,48.5,0,-0.073474534
48,arg,morenhuapi,sector principal,muchamina,0,53,2,-0.073474534
49,arg,morenhuapi,sector principal,pinche cabron,0,49,2,-0.164901795
50,arg,morenhuapi,sector principal,shantala,0,42,2,-0.17764527
51,arg,morenito,playita,boquita de dama,0,57,2,-0.073474534
52,arg,morenito,playita,cuiyibo,0,59,2,-0.045211449
53,arg,morenito,playita,mi perro dinamita,0,55,2,-0.073474534
54,arg,morenito,playita,namaste,0,46,2,-0.045211449
55,arg,morenito,playita,siempre es lo mismo nena,0,52,2,-0.073474534
56,arg,morenito,playita,tu perro guardian,0,58,2,-0.073474534
57,arg,piedra parada,alero,adan en su eden,0,33,1,-0.073474534
58,arg,piedra parada,alero,amplio moncada,0,50.66666667,3,0.05778659
59,arg,piedra parada,alero,capitan pingaloca,0,44,2,0.170033543
60,arg,piedra parada,alero,dura de entrarle,-1,53.66666667,3,-0.073474534
61,arg,piedra parada,alero,indomita,0,46,2,-0.164901795
62,arg,piedra parada,alero,mas chingona,-1,46.33333333,3,-0.046988195
63,arg,piedra parada,alero,mickey mouse,1,40,2,0.076984956
64,arg,piedra parada,alero,planeta agujero,0,44.33333333,2,-0.125893386
65,arg,piedra parada,alero,ponienola cachonda,-1,47,3,0.074478897
66,arg,piedra parada,alero,propulsion a chorro,0,44.2,2,-0.045211449
67,arg,piedra parada,alero,punto g,0,33,1,-0.073474534
68,arg,piedra parada,alero,rio de lava,-1,49.125,2,-0.164901795
69,arg,piedra parada,anfiteatro,en eleste esta el cachengue,0,49.33333333,2,0.050978075
70,arg,piedra parada,anfiteatro,epifania,0,56.83333333,1,0.325556541
71,arg,piedra parada,anfiteatro,estigma,0,53,1,0.315088287
72,arg,piedra parada,anfiteatro,grito de cristal,0,51,2,-0.164901795
73,arg,piedra parada,anfiteatro,homofobica,0,57.75,1,0.075558586
74,arg,piedra parada,anfiteatro,limites de la partner,0,53,2,0.224523719
75,arg,piedra parada,anfiteatro,para entibiar,0,44,2,-0.040747957
76,arg,piedra parada,anfiteatro,pongame una cerveza pulpero,0,49.33333333,0,0.218294398
77,arg,piedra parada,anfiteatro,revelacion divina,0,51,1,0.485300107
78,arg,piedra parada,anfiteatro,sacrificio del corderoy,0,42.5,3,-0.164901795
79,arg,piedra parada,anfiteatro,te chifla la cachifla,-1,54,0,0.408903312
80,arg,piedra parada,anfiteatro,uyuyui,0,51,2,0.320124735
81,arg,piedra parada,anfiteatro,zonda patagonico,0,55,1,-0.030410995
82,arg,piedra parada,calavera,coordinacion formacion,-1,67.5,0,-0.153898769
83,arg,piedra parada,calavera,cuarzo,-1,48.91666667,2,0.062244171
84,arg,piedra parada,calavera,cumbia de la buitrera,0,62,1,0.164795578
85,arg,piedra parada,calavera,dulce duro,1,62.8,0,0.113747634
86,arg,piedra parada,calavera,erizo protegido por alambres de puas,1,39.83333333,2,0.072587103
87,arg,piedra parada,calavera,flecha perdida,1,52.8,2,0.126252279
88,arg,piedra parada,calavera,le merlin,1,56.875,0,0.090257905
89,arg,piedra parada,calavera,les yeux qui piquent,1,59.5,1,-0.168029003
90,arg,piedra parada,calavera,mediacratia,0,52.66666667,0,0.172507494
91,arg,piedra parada,calavera,nueva atras de la flecha,1,38.25,0,-0.034841616
92,arg,piedra parada,calavera,nueva de kopcke,2,39,0,0.007014648
93,arg,piedra parada,calavera,nununu,0,49.25,2,-0.045211449
94,arg,piedra parada,calavera,pan blanco,-1,67.66666667,0,0.168194677
95,arg,piedra parada,calavera,piedra rolada,0,39.375,1,0.014633724
96,arg,piedra parada,calavera,sofia,0,40,1,-0.045211449
97,arg,piedra parada,calavera,sunny twins,0,36.66666667,1,-0.073474534
98,arg,piedra parada,calavera,tete du mort,-2,48.3,2,0.030661282
99,arg,piedra parada,calavera,tremble nahir tremble,0,36,1,-0.073474534
100,arg,piedra parada,calavera,universal local,0,48.83333333,2,-0.164901795
101,arg,piedra parada,calavera,vino malbec,1,56.90909091,0,-0.057628969
102,arg,piedra parada,circo,a rajatabla,0,33,1,-0.073474534
103,arg,piedra parada,circo,alharaca de la bandurria,1,48.8,0,0.03631528
104,arg,piedra parada,circo,angel copulador,0,49,2,-0.070930049
105,arg,piedra parada,circo,apriete final,0,57,1,-0.073474534
106,arg,piedra parada,circo,aquelarre,0,44,2,-0.045211449
107,arg,piedra parada,circo,autofelatio,-2,63.85714286,1,0.116469681
108,arg,piedra parada,circo,birlocha party,0,40,1,-0.073474534
109,arg,piedra parada,circo,cabernet suavezon,0,46,2,0.137456643
110,arg,piedra parada,circo,chaupapa,0,46,2,0.116464061
111,arg,piedra parada,circo,clan mono,0,55,1,-0.073474534
112,arg,piedra parada,circo,culebron de las marujas,0,40.5,1,0.075051018
113,arg,piedra parada,circo,empanada locro y vino,0,29,1,-0.073474534
114,arg,piedra parada,circo,laucha cuchillera,1,46,0,-0.045211449
115,arg,piedra parada,circo,mansa panza,0,33,1,-0.073474534
116,arg,piedra parada,circo,manso guiso,0,55,1,0.189141239
117,arg,piedra parada,circo,mateina cafeina y todas las minas,0,51,1,0.287374381
118,arg,piedra parada,circo,mujeres al poder,0,53,2,0.322958697
119,arg,piedra parada,cortas,amigo del pan,1,35.5,0,-0.073474534
120,arg,piedra parada,cueva,dulce duro,0,62.57142857,0,0.020947407
121,arg,piedra parada,gradas,sunny twins,0,37,1,-0.073474534
122,arg,piedra parada,gruyere,asado fatal,0,36,2,0.320124735
123,arg,piedra parada,gruyere,cojo anal,0,40.22222222,2,-0.051905525
124,arg,piedra parada,gruyere,mustache gracias,0,44,2,0.069005599
125,arg,piedra parada,ongi etorri,algo muy sucio,0,36,1,0.320124735
126,arg,piedra parada,ongi etorri,apriete cachete,0,54.4,2,0.223119429
127,arg,piedra parada,ongi etorri,chinchillon,0,40,2,0.065104474
128,arg,piedra parada,ongi etorri,feng shuy,-1,39.8,1,-0.073474534
129,arg,piedra parada,ongi etorri,sos pechosa,0,48.4,0,-0.164901795
130,arg,piedra parada,ortigas,a las hora del postre,0,48.33333333,3,0.074478897
131,arg,piedra parada,ortigas,cascarrona,-1,48.35714286,0,0.102811891
132,arg,piedra parada,ortigas,chapati con dulce de leche,0,44,2,-0.073474534
133,arg,piedra parada,ortigas,concierto de taladros,1,37.66666667,0,-0.045211449
134,arg,piedra parada,ortigas,corazon contento,-1,42.5,3,0.568043496
135,arg,piedra parada,ortigas,enana blanca,0,57,0,0.07761147
136,arg,piedra parada,ortigas,negro rasta,0,44,4,0.320124735
137,arg,piedra parada,ortigas,pajaro carpintero,-1,42.11111111,2,0.306129681
138,arg,piedra parada,ortigas,panza llena,1,43.83333333,2,0.158449225
139,arg,piedra parada,ortigas,pety gourmet extension,0,42,2,0.223119429
140,arg,piedra parada,ortigas,te de ortigas,0,38,2,-0.073474534
141,arg,piedra parada,ortigas,tom sawyer,0,43.5,0,0.118547024
142,arg,piedra parada,ortigas,variante inaki,-1,53.25,3,0.327887405
143,arg,piedra parada,totem,efecto cafe,0,48.5,0,-0.164901795
144,arg,piedra parada,totem,espolon de la tarantula,0,52.5,4,0.320124735
145,arg,piedra parada,totem,pico de pato,0,52.6,0,0.029108817
146,arg,trebol,pared blanca,barbaroja,0,48.33333333,2,0.097559861
147,arg,trebol,pared blanca,barbas del capitan,0,46.9,2,0.078003015
148,arg,trebol,pared blanca,calavera no chilla,0,62,2,-0.156754087
149,arg,trebol,pared blanca,capitan bachi,0,48.5,2,-0.073474534
150,arg,trebol,pared blanca,chacopalai,0,65,2,-0.090665869
151,arg,trebol,pared blanca,chimichanga,0,62,2,-0.073474534
152,arg,trebol,pared blanca,corsario negro,1,59.4,3,0.01183757
153,arg,trebol,pared blanca,galletita dulce,0,36,2,-0.045211449
154,arg,trebol,pared blanca,guerra de peditos,0,31,2,-0.073474534
155,arg,trebol,pared blanca,habitante del raviol,0,55.5,3,-0.073474534
156,arg,trebol,pared blanca,isla del tesoro,0,38.66666667,2,0.278139571
157,arg,trebol,pared blanca,jack sparrow,-1,51.0625,2,0.097788571
158,arg,trebol,pared blanca,lenguita de gato,0,52.9,0,-0.008136249
159,arg,trebol,pared blanca,mandibula de titanio,0,46,0,-0.165811423
160,arg,trebol,pared blanca,pata de palo,0,51.8,0,-0.158763545
161,arg,trebol,pared blanca,paty,0,53,0,-0.045211449
162,arg,trebol,pared blanca,perla negra,0,37,1,0.190009717
163,arg,trebol,pared blanca,peter pan,0,50.5,0,-0.039073199
164,arg,trebol,pared blanca,tarugos y bananas,0,70,2,-0.08043949
165,arg,trebol,pared blanca,travesia,0,57.5,3,-0.045211449
166,arg,valle encantado,sector nuevo,meneaito,-1,53.5,3,-0.040683946
